topic,category,question,answer,keywords,timestamp
University Holiday Confirmation,Academic,اليوم اجازة صحيح؟,ايوه,['اجازة'],2023-01-05
Examination Schedule,Academic,متى تنتهي مهلة سداد الرسوم حق ذا السمستر؟,ما في يوم محدد,"['سداد الرسوم', 'السمستر']",2023-03-05
Important Course Requirement,Academic,ايش كورس ال talent ?,مادة من مواد الPSC حق السبيس. ضروري تخلصها عشان تتخرج.,"['كورس ال talent', 'PSC', 'مواد التخرج']",2023-04-05
Passport Renewal Process,Visa/Immigration,ماهي المتطلبات لاستخراج جواز جديد وكم مدة استخراجه وقيمتها؟,أسبوعين إلى 3 أسابيع، قيمة الجواز 150 رينغت للطالب.,"['جواز جديد', 'التجديد', 'الفيزا']",2023-05-05
Returning Flight Booking,Visa/Immigration,لما ابغى احجز رحلة العودة احجز بالجواز الجديد ولا القديم؟,حجزت بالجديد، بس خل القديم معاك اذا كلموك.,"['حجز رحلة', 'الجواز القديم', 'الجواز الجديد']",2023-05-07
Transportation to University,Student Life,ممكن رقم شاحنة صغيرة لتوصيل الاثاث,https://t.me/issyemen_bot,"['توصيل اثاث', 'شاحنة صغيرة']",2023-05-05
Public Bus Services,Student Life,هل يداوموا يوم الأحد؟,لا,"['باصات', 'دوام', 'الأحد']",2023-05-04
Alternative Tests for University Admission,Academic,اش فيه اختبارات غير الايلتس و ELS اقدر اخش فيها الجامعة؟,,"['اختبارات', 'دخول الجامعة', 'الايلتس', 'ELS']",2023-08-05
Alternative English Tests for University Admission,Academic,اش فيه اختبارات غير الايلتس و ELS اقدر اخش فيها الجامعة؟,اختبار Linguaskill تبع كامبريدج الكثير من الطلاب جربوه ويقولوا انه اسهل من الايلتس. محتاج 162 نقطة فيه عشان تخش بكالوريوس في UTM. كل المعلومات عنه هنا: https://www.cambridgeenglish.org/exams-and-tests/linguaskill/information-about-the-test/,"['Linguaskill', 'Cambridge', 'UTM', 'English tests']",2023-05-08
Process of Dropping Courses at UTM,Academic,شباب متى اخر موعد للدروب؟,وصلني ايميل أمس انهم مددوه إلى تاريخ 26.,"['dropping courses', 'deadline', 'UTM']",2023-05-11
