topic,category,question,answer,keywords,timestamp
Mathematics Problem Solving,Academic,تقدر تستخدم chain rule,لا ابيها بالطريقة نفسها، اعرف طريقة الحل بس في مشكلة مع النتيجة معيية تطلع معي نفس الكتاب,"['chain rule', 'mathematics', 'problem solving']",2024-07-01
Mathematics Problem Solving,Academic,كم النتيجة,-6÷(x+2)^,"['mathematics', 'problem solving', 'result']",2024-07-01
Mathematics Problem Solving,Academic,لا first prinsible السؤال,المعكوس https://youtu.be/pjzETRtHvTc?si=R9PcQ7EjNmgWCu1H هذا شرح ممتاز,"['mathematics', 'problem solving', 'inverse', 'first principle']",2024-07-01
Mathematics Problem Solving,Academic,كاتب adjoint هو لكن قصدو inverse صح ؟,لا لا inverse بتجيبهو بعد ما تجيبي adjoint تضربيهو في مقلوب الdeterminant حق المصفوفة الاصلية,"['mathematics', 'adjoint', 'inverse', 'matrix']",2024-07-01
Mathematics Problem Solving,Academic,احد عنده الحل؟,استخدم قاعدة ال product rule,"['mathematics', 'problem solving', 'product rule']",2024-07-03
Mathematics Problem Solving,Academic,ابغى إجابة a شباب,هذه لها identities تحولين الcos2theta لحاجه مختلفه بعدين تحلي طبيعي,"['mathematics', 'problem solving', 'cos2theta', 'identities']",2024-07-03
Mathematics Problem Solving,Academic,فيه حد عنده حل توتريل شابتر 6 رياضيات ؟؟,بس هذا حل الأول والثاني,"['mathematics', 'problem solving', 'chapter 6', 'tutorial']",2024-07-07
Mathematics Problem Solving,Academic,يا اخوان وش صار علي,تحولها equation Parametric,"['mathematics', 'problem solving', 'parametric equation']",2024-07-08
Mathematics Problem Solving,Academic,شباب، من عنده حل ذا بالله,إدعي انو ما يجي وبس,"['mathematics', 'problem solving', 'prayer']",2024-07-09
Fundamentals of Programming Exam Preparation,Academic,يخوان في احد معاه فاينل قديم ل بروقرام يرسل بالله,قصدي ل fundamentals of programming,"['fundamentals of programming', 'exam', 'final']",2024-07-11
Visa Renewal Documentation,Visa/Immigration,انا مسافر بعد كم يوم بي اتأكد هل في شي احتاح اخذه من utm space عشان تجديد الفيزه ولا كله اقدر اسويه اونلاين الي عنده يرد بالله ضروري,الورقه ذي تاخذها من الكليه او من utm space عن طريق انك ترسلهم ايميل. كل الاوراق الي تحتاجها عشان تجديد الفيزا تاخذها عن طريق رساله بالايميل. اذا انت بردجنق utm space و اذا طالب كليه ف راسل كليتك.,"['visa renewal', 'utm space', 'verification letter', 'email']",2024-07-12
Mechanical Engineering Course Schedule,Academic,شباب ممكن احد يرسل جدول مواد الميكاترونيكس للسنة القادمة,هذا غير منتظم. في مواد هنا حقت سمستر 2. https://tr.ee/yvg_PRrBaO,"['mechatronics', 'course schedule', 'semester 2']",2024-07-14
Mathematics Final Exam Preparation,Academic,لو احد معاه اختبار الرياضيات الفاينل يرسله ضروري,موجود في الكتاب,"['mathematics', 'final exam', 'test']",2024-07-15
Mechatronics WhatsApp Group and Library Access,Academic,شباب كيف ممكن ادخل قروب الوايساج لتخصص الميكاترونيكس و كيف احصل المكتبة الخاصة بالتخصص,لا يوجد جروب خاص بالميكاترونكس و لكن يوجد جروب للكهرباء بشكل عام. https://chat.whatsapp.com/J0aUzuqDVMn6pHw7EqvpQf,"['mechatronics', 'whatsapp group', 'library', 'electrical engineering']",2024-07-23
Official Results Release Date,Academic,يا جماعه متى ال official result تطلع,عادة بعد إجتماع اللجنة. اجتماع اللجنة تبع هذا الترم ٨ أغسطس. يمكن يطلعوها قبل.,"['official results', 'committee meeting', 'release date']",2024-07-23
Semester Tuition Fees,Academic,يا شباب كيف اعرف رسوم دراسية لكل سمستر,بدايه السمستر بتكون تنزل لك الرسوم في ال utm portal,"['tuition fees', 'semester', 'utm portal']",2024-07-24
Bridging Program Official Results Access,Academic,مرحبا شباب كيف ممكن اعرف official result لأني دخلت موقع bridging مقفل عندي,https://bridging.utmspace.edu.my/,"['bridging program', 'official results', 'website access']",2024-07-25
