topic,category,question,answer,keywords,timestamp
Visa Application for Singapore,Visa/Immigration,هل في مكتب يستخرج فيزا لسنغافورة وكم سعرها وكم تستغرق وقت لتصدر؟,DE KIM TOUR AND TRAVEL (J) SDN BHD 012-700 7663 https://maps.app.goo.gl/XchazUM5oRk5mao56 تاخذ ٥ ايام و سعرها ١٦٠ رنقت تقريباً.,"['visa', 'Singapore', 'application', 'DE KIM TOUR AND TRAVEL']",2023-10-01
Amendment Week Registration,Academic,شو ممكن أسوي لو تأخرت عن التسجيل؟,تقدر تسجل من الموقع أو تروح الاكاديمك اوفيس حق كليتك. لو تأخرت للأسبوع اللي بعده فيه غرامة.,"['registration', 'amendment week', 'academic office']",2023-10-02
Early Certificate Collection,Academic,استلام ال early certificate من اي مبنى؟,AMD https://maps.app.goo.gl/D62vn5mSPJSB1S7WA?g_st=ic,"['early certificate', 'collection', 'building']",2023-10-01
Travel Issues and Phone Tips,Student Life,ياشباب في حد واجهته مشكلة في شريحة u mobile بعد رجوعه إلى ماليزيا؟,في عدد من الطلاب صارت لهم هذي المشكله. خاصة اذا كان لهم مدة ما يستخدموا الشرايح. ف يمكنك تروح لأقرب فرع وتشوف اذا ممكن ترجعها.,"['travel', 'SIM card', 'u mobile', 'Malaysia']",2023-10-03
Certificate Authentication Before Returning,Visa/Immigration,يشباب انتوا سويتوا ختم للشهادة في السعودية ولا مايحتاج؟,اذا ما سويت ختم بسعودية ضروري تختمها من القنصليه السعودية هنا في ماليزيا على حد علمي.,"['certificate', 'authentication', 'Saudi Arabia', 'Malaysia']",2023-10-03
Renewal Issues with Insurance and Cards,Academic,احد عنده الرابط حق تجديد التأمين والبطاقة؟,تدخل من موقع utm portal.,"['insurance', 'card renewal', 'utm portal']",2023-10-03
Understanding Course Registration Process,Academic,هل الواحد يقدر يسوي amendment بدون ما يدفع رسوم التدريب ولا لازم يكون دافعها؟,اي outstanding عليك في الحساب كانت للتدريب او غيره حتى رنجت ما تقدر ضروري تصفي ال outstanding.,"['amendment', 'fees', 'training', 'UTM']",2023-10-03
E-Daftar Information,Academic,ما هو ال e daftar وكيف يمكنني التسجيل فيه؟,سجل عن طريق مكتب وتواصل معهم ليقوموا بمساعدتك، يمكنك الدخول ورفع معلوماتك في موقع ال e daftar.,"['e daftar', 'تسجيل', 'التعليم']",2023-10-03
Course Registration Issue,Academic,أنا سنة أولى بكلريوس لما أدخل الcourse registration يظهر لي كورس واحد فقط، هل هذا طبيعي؟,إذا كان هذ عادي، يتوجب عليك الذهاب إلى الأكاديميك أدفايزر ليسجل لك المواد.,"['course registration', 'first year', 'academic advisor']",2023-10-04
Travel Document Collection,Visa/Immigration,أين يمكنني تسليم الجواز واستلام الماتريك كارد؟,يمكنك تسليم الجواز إلى المكتب الدولي، أما بخصوص الماتريك كارد فاطلب من الشباب المساعدة.,"['جواز', 'ماتريك كارد', 'تسليم']",2023-10-04
Registration Opening,Academic,متى سيفتتح التسجيل للأمنيات؟,التسجيل للمادة سيبدأ يوم الأحد.,"['التسجيل', 'الأمنيات', 'المواد']",2023-10-04
Changing Currency,Other,هل يوجد مكان جيد لتغيير العملة قريب من UTM؟,يمكنك زيارة هذا المكان الذي حولت فيه، وكان سعر الدولار 4.66 رنقت.,"['تغيير العملة', 'سعر الدولار', 'UTM']",2023-10-04
Driving License in Malaysia,Visa/Immigration,هل الرخصة السعودية مقبولة في ماليزيا قانونياً؟,الرخصة السعودية الدولية ليست مقبولة كوسيلة قانونية للقيادة كمقيم. يمكنك الحصول على رخصة محلية.,"['رخصة قيادة', 'السعودية', 'ماليزيا']",2023-10-06
Student Club Exhibition,Student Life,هل بدأ معرض الأندية الجامعية؟,لم يبدأ بعد، يجب الانتظار حتى يتم الإعلان عن الموعد.,"['معرض الأندية', 'الطلاب', 'الفعاليات']",2023-10-08
University Clubs Exhibition Schedule,Student Life,هل بدأ معرض الاندية الجامعيه ولا باقي؟,غالبا يتأخر يا عزيزي. الآن الجامعه كلها مشغوله بالتسجيل والطلاب الجدد، امور النوادي يأخروها لبعدين.,"['معرض', 'الأندية الجامعية', 'موعد']",2023-10-08
Bank Branch Availability,Other,هل يوجد بنك RHB في الجامعة؟,ما في rhb في الجامعه، اقرب فرع في تون امينه.,"['بنك RHB', 'الجامعة', 'فرع']",2023-10-08
